,Passage
803,Indonesias 80000 kilometers 50000 mi coastline surrounded tropical seas contribute countrys high level biodiversity Indonesia range sea coastal ecosystems including beaches sand dunes estuaries mangroves coral reefs sea grass beds coastal mudflats tidal flats algal beds small island ecosystems
804,British naturalist Alfred Wallace described dividing line distribution Indonesias Asian Australasian species Known Wallace Line runs roughly northsouth along edge Sunda Shelf Kalimantan Sulawesi along deep Lombok Strait Lombok Bali West line flora fauna Asian moving east Lombok increasingly Australian 1869 book Malay Archipelago Wallace described numerous species unique surrounding area termed Wallacea
805,Indonesias high population rapid industrialization present serious environmental issues often given lower priority due high poverty levels weak underresourced governance Issues include largescale deforestation much illegal related wildfires causing heavy smog parts western Indonesia Malaysia Singapore overexploitation marine resources environmental problems associated rapid urbanization economic development including air pollution traffic congestion garbage management reliable water waste water services Habitat destruction threatens survival indigenous endemic species including 140 species mammals identified World Conservation Union IUCN threatened 15 identified critically endangered including Sumatran Orangutan
806,Using water buffalo plough rice fields Java Agriculture countrys largest employer centuries
807,Indonesias estimated Gross Domestic Product GDP 2007 US408 billion US1038 bn PPP 2007 estimated nominal per capita GDP US1812 per capita GDP PPP US4616 International Dollars services sector economys largest accounts 453 GDP 2005 followed industry 407 agriculture 140 However agriculture employs people sectors accounting 443 95 millionstrong workforce followed services sector 369 industry 188 Major industries include petroleum natural gas textiles apparel mining Major agricultural products include palm oil rice tea coffee spices rubber
808,Indonesias main export markets Japan 223 Indonesian exports 2005 United States 139 China 91 Singapore 89 major suppliers imports Indonesia Japan 180 China 161 Singapore 128 2005 Indonesia ran trade surplus export revenues US8364 billion import expenditure US6202 billion country extensive natural resources including crude oil natural gas tin copper gold Indonesias major imports include machinery equipment chemicals fuels foodstuffs
809,Jakarta capital Indonesia largest commercial center
810,1960s economy deteriorated drastically result political instability young inexperienced government illdisciplined economic nationalism resulted severe poverty hunger time Sukarnos downfall mid1960s economy chaos 1000 annual inflation shrinking export revenues crumbling infrastructure factories operating minimal capacity negligible investment Schwarz 1994 pages 52â57 Following President Sukarnos downfall mid1960s New Order administration brought degree discipline economic policy quickly brought inflation stabilized currency rescheduled foreign debt attracted foreign aid investment Schwarz 1994 pages 52â57 Indonesia Southeast Asias member OPEC 1970s oil price raises provided export revenue windfall contributed sustained high economic growth rates averaging 7 1968 1981 Schwarz 1994 pages 52â57 Following reforms late 1980s
811,Following slowing growth 1980s due regulation dependence declining oil prices growth slowed average 43 per annum 1981 1988 range economic reforms introduced late 1980s Reforms included managed devaluation rupiah improve export competitiveness deregulation financial sector Schwarz 1994 pages 52â57 foreign investment flowed Indonesia particularly rapidly developing exportorientated manufacturing sector 1989 1997 Indonesian economy grew average 7 Schwarz 1994 pages 52â57
812,Indonesia country hardest hit East Asian financial crisis 1997â98 US dollar currency dropped Rp 2000 Rp 18000 economy shrunk 137 rupiah since stabilized around Rp 10000 slow significant economic recovery Political instability since 1998 slow economic reform corruption levels government business contributed patchy nature recovery subsequent correction Transparency International example ranked Indonesia 143rd 180 countries 2007 Corruption Perceptions Index GDP growth however exceeded 5 2004 2005 forecast increase growth rate however enough make significant impact unemployment subsequent correction stagnant wages growth increases fuel rice prices worsened poverty levels 2005 Government forced reduce large subsidies fuel prices drastically international oil prices climbed major contributor inflation hardship
813,2006 estimated 178 population live poverty line 490 population live less US2 per day
